*******************************************************************************
Ephemeris / WWW_USER Thu Mar 11 18:40:32 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1800-Mar-20 00:00:00.0000 TDB
Stop  time      : A.D. 1800-Mar-22 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2378574.511111111, A.D. 1800-Mar-20 00:16:00.0000,  1.613297561339496E+07,  4.310614042644101E+07,  2.020916144115966E+06,
2378574.511805556, A.D. 1800-Mar-20 00:17:00.0000,  1.612965424271450E+07,  4.310728030281251E+07,  2.021315522149775E+06,
2378574.512500000, A.D. 1800-Mar-20 00:18:00.0000,  1.612633279322588E+07,  4.310841996856560E+07,  2.021714890307602E+06,
2378574.513194445, A.D. 1800-Mar-20 00:19:00.0000,  1.612301126494493E+07,  4.310955942369362E+07,  2.022114248587446E+06,
2378574.513888889, A.D. 1800-Mar-20 00:20:00.0000,  1.611968965788746E+07,  4.311069866818993E+07,  2.022513596987313E+06,
2378574.514583333, A.D. 1800-Mar-20 00:21:00.0000,  1.611636797206930E+07,  4.311183770204786E+07,  2.022912935505193E+06,
2378574.515277778, A.D. 1800-Mar-20 00:22:00.0000,  1.611304620750628E+07,  4.311297652526080E+07,  2.023312264139075E+06,
2378574.515972222, A.D. 1800-Mar-20 00:23:00.0000,  1.610972436421423E+07,  4.311411513782208E+07,  2.023711582886975E+06,
2378574.516666667, A.D. 1800-Mar-20 00:24:00.0000,  1.610640244220898E+07,  4.311525353972507E+07,  2.024110891746882E+06,
2378574.517361111, A.D. 1800-Mar-20 00:25:00.0000,  1.610308044150634E+07,  4.311639173096313E+07,  2.024510190716799E+06,
2378574.518055555, A.D. 1800-Mar-20 00:26:00.0000,  1.609975836212216E+07,  4.311752971152961E+07,  2.024909479794720E+06,
2378574.518750000, A.D. 1800-Mar-20 00:27:00.0000,  1.609643620407226E+07,  4.311866748141789E+07,  2.025308758978644E+06,
2378574.519444444, A.D. 1800-Mar-20 00:28:00.0000,  1.609311396737247E+07,  4.311980504062132E+07,  2.025708028266570E+06,
2378574.520138889, A.D. 1800-Mar-20 00:29:00.0000,  1.608979165203863E+07,  4.312094238913328E+07,  2.026107287656505E+06,
